Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Anthony Davis (11695864),Anthony Davis,11695864,PF/C/F/UTIL,11400,NO@WAS 11/24/2018 08:00PM ET,NO,58.84
PG,Russell Westbrook (11695748),Russell Westbrook,11695748,PG/G/UTIL,10700,DEN@OKC 11/24/2018 08:00PM ET,OKC,53.65
C,Karl-Anthony Towns (11695956),Karl-Anthony Towns,11695956,C/UTIL,9100,CHI@MIN 11/24/2018 08:00PM ET,MIN,42.78
C,Nikola Jokic (11695954),Nikola Jokic,11695954,C/UTIL,8800,DEN@OKC 11/24/2018 08:00PM ET,DEN,44.68
PG/SG,Jrue Holiday (11695786),Jrue Holiday,11695786,PG/SG/G/UTIL,8600,NO@WAS 11/24/2018 08:00PM ET,NO,43.70
PG,John Wall (11695818),John Wall,11695818,PG/G/UTIL,8500,NO@WAS 11/24/2018 08:00PM ET,WAS,42.92
SF/PF,Paul George (11695797),Paul George,11695797,SF/PF/F/UTIL,8300,DEN@OKC 11/24/2018 08:00PM ET,OKC,47.19
PG/SG,Zach LaVine (11695926),Zach LaVine,11695926,PG/SG/G/UTIL,7800,CHI@MIN 11/24/2018 08:00PM ET,CHI,40.86
SG,Bradley Beal (11695868),Bradley Beal,11695868,SG/G/UTIL,7400,NO@WAS 11/24/2018 08:00PM ET,WAS,37.40
PF/C,Julius Randle (11695938),Julius Randle,11695938,PF/C/F/UTIL,7300,NO@WAS 11/24/2018 08:00PM ET,NO,34.93
SF/PF,Nikola Mirotic (11695856),Nikola Mirotic,11695856,SF/PF/F/UTIL,6800,NO@WAS 11/24/2018 08:00PM ET,NO,38.85
C,Steven Adams (11695885),Steven Adams,11695885,C/UTIL,6600,DEN@OKC 11/24/2018 08:00PM ET,OKC,36.34
PG/SG,Derrick Rose (11695777),Derrick Rose,11695777,PG/SG/G/UTIL,6500,CHI@MIN 11/24/2018 08:00PM ET,MIN,32.21
SG/SF,Andrew Wiggins (11695946),Andrew Wiggins,11695946,SG/SF/F/G/UTIL,6400,CHI@MIN 11/24/2018 08:00PM ET,MIN,29.35
PG/SG,Jamal Murray (11696012),Jamal Murray,11696012,PG/SG/G/UTIL,6300,DEN@OKC 11/24/2018 08:00PM ET,DEN,31.51
C,Dwight Howard (11695732),Dwight Howard,11695732,C/UTIL,6100,NO@WAS 11/24/2018 08:00PM ET,WAS,27.03
PF/C,Paul Millsap (11695728),Paul Millsap,11695728,PF/C/F/UTIL,6100,DEN@OKC 11/24/2018 08:00PM ET,DEN,29.18
PG,Jeff Teague (11695765),Jeff Teague,11695765,PG/G/UTIL,6000,CHI@MIN 11/24/2018 08:00PM ET,MIN,29.62
PG/SG,Dennis Schroder (11695911),Dennis Schroder,11695911,PG/SG/G/UTIL,6000,DEN@OKC 11/24/2018 08:00PM ET,OKC,33.33
SF/PF,Jabari Parker (11695934),Jabari Parker,11695934,SF/PF/F/UTIL,5900,CHI@MIN 11/24/2018 08:00PM ET,CHI,29.43
SF/PF,Robert Covington (11695829),Robert Covington,11695829,SF/PF/F/UTIL,5700,CHI@MIN 11/24/2018 08:00PM ET,MIN,27.65
SG,Gary Harris (11695903),Gary Harris,11695903,SG/G/UTIL,5700,DEN@OKC 11/24/2018 08:00PM ET,DEN,29.26
PG,Elfrid Payton (11695871),Elfrid Payton,11695871,PG/G/UTIL,5500,NO@WAS 11/24/2018 08:00PM ET,NO,26.12
SF/PF,Otto Porter Jr. (11695874),Otto Porter Jr.,11695874,SF/PF/F/UTIL,5500,NO@WAS 11/24/2018 08:00PM ET,WAS,24.72
PG/SG,Kris Dunn (11695893),Kris Dunn,11695893,PG/SG/G/UTIL,5500,CHI@MIN 11/24/2018 08:00PM ET,CHI,23
SG/SF,Will Barton (11695838),Will Barton,11695838,SG/SF/F/G/UTIL,5500,DEN@OKC 11/24/2018 08:00PM ET,DEN,30.75
C,Wendell Carter Jr. (11696045),Wendell Carter Jr.,11696045,C/UTIL,5400,CHI@MIN 11/24/2018 08:00PM ET,CHI,27.88
SG/SF,E'Twaun Moore (11695768),E'Twaun Moore,11695768,SG/SF/F/G/UTIL,5300,NO@WAS 11/24/2018 08:00PM ET,NO,24.5
PF/C,Bobby Portis (11695930),Bobby Portis,11695930,PF/C/F/UTIL,5000,CHI@MIN 11/24/2018 08:00PM ET,CHI,29.12
PF,Lauri Markkanen (11696036),Lauri Markkanen,11696036,PF/F/UTIL,5000,CHI@MIN 11/24/2018 08:00PM ET,CHI,0
SF/PF,Juancho Hernangomez (11696020),Juancho Hernangomez,11696020,SF/PF/F/UTIL,4700,DEN@OKC 11/24/2018 08:00PM ET,DEN,18.12
SG/SF,Justin Holiday (11695756),Justin Holiday,11695756,SG/SF/F/G/UTIL,4600,CHI@MIN 11/24/2018 08:00PM ET,CHI,26.38
