Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Joel Embiid (11700571),Joel Embiid,11700571,C/UTIL,10900,PHI@BKN 11/25/2018 06:00PM ET,PHI,55.40
PG,Kemba Walker (11700573),Kemba Walker,11700573,PG/G/UTIL,9800,CHA@ATL 11/25/2018 06:00PM ET,CHA,47.10
PG,Damian Lillard (11700576),Damian Lillard,11700576,PG/G/UTIL,9600,LAC@POR 11/25/2018 09:00PM ET,POR,44.62
SF/PF,Kawhi Leonard (11700579),Kawhi Leonard,11700579,SF/PF/F/UTIL,9400,MIA@TOR 11/25/2018 06:00PM ET,TOR,43.84
PG/SF,Ben Simmons (11700583),Ben Simmons,11700583,PG/SF/F/G/UTIL,9200,PHI@BKN 11/25/2018 06:00PM ET,PHI,42.4
C,Marc Gasol (11700588),Marc Gasol,11700588,C/UTIL,8900,NYK@MEM 11/25/2018 06:00PM ET,MEM,41.83
C,Hassan Whiteside (11700590),Hassan Whiteside,11700590,C/UTIL,8300,MIA@TOR 11/25/2018 06:00PM ET,MIA,40.75
PG,Mike Conley (11700592),Mike Conley,11700592,PG/G/UTIL,8100,NYK@MEM 11/25/2018 06:00PM ET,MEM,36.53
PG,Kyle Lowry (11700595),Kyle Lowry,11700595,PG/G/UTIL,8000,MIA@TOR 11/25/2018 06:00PM ET,TOR,40.69
SF/PF,Tobias Harris (11700598),Tobias Harris,11700598,SF/PF/F/UTIL,7900,LAC@POR 11/25/2018 09:00PM ET,LAC,37.68
PG,De'Aaron Fox (11700602),De'Aaron Fox,11700602,PG/G/UTIL,7700,UTA@SAC 11/25/2018 08:00PM ET,SAC,37.14
PG/SG,D'Angelo Russell (11700605),D'Angelo Russell,11700605,PG/SG/G/UTIL,7600,PHI@BKN 11/25/2018 06:00PM ET,BKN,32.68
C,Rudy Gobert (11700609),Rudy Gobert,11700609,C/UTIL,7400,UTA@SAC 11/25/2018 08:00PM ET,UTA,39.09
PF/C,Montrezl Harrell (11700611),Montrezl Harrell,11700611,PF/C/F/UTIL,7300,LAC@POR 11/25/2018 09:00PM ET,LAC,32.44
SG/SF,Jimmy Butler (11700615),Jimmy Butler,11700615,SG/SF/F/G/UTIL,7200,PHI@BKN 11/25/2018 06:00PM ET,PHI,37.61
PG/SG,Donovan Mitchell (11700620),Donovan Mitchell,11700620,PG/SG/G/UTIL,7100,UTA@SAC 11/25/2018 08:00PM ET,UTA,33.24
C,Jusuf Nurkic (11700624),Jusuf Nurkic,11700624,C/UTIL,7000,LAC@POR 11/25/2018 09:00PM ET,POR,35.42
PG/SG,CJ McCollum (11700626),CJ McCollum,11700626,PG/SG/G/UTIL,6900,LAC@POR 11/25/2018 09:00PM ET,POR,31.84
SG/SF,Josh Richardson (11700630),Josh Richardson,11700630,SG/SF/F/G/UTIL,6800,MIA@TOR 11/25/2018 06:00PM ET,MIA,34.39
PG,Ricky Rubio (11700635),Ricky Rubio,11700635,PG/G/UTIL,6700,UTA@SAC 11/25/2018 08:00PM ET,UTA,29.30
SG/SF,Tim Hardaway Jr. (11700638),Tim Hardaway Jr.,11700638,SG/SF/F/G/UTIL,6600,NYK@MEM 11/25/2018 06:00PM ET,NYK,34.87
PG,Trae Young (11700643),Trae Young,11700643,PG/G/UTIL,6500,CHA@ATL 11/25/2018 06:00PM ET,ATL,31.75
C,Enes Kanter (11700646),Enes Kanter,11700646,C/UTIL,6300,NYK@MEM 11/25/2018 06:00PM ET,NYK,34.18
PF/C,Serge Ibaka (11700648),Serge Ibaka,11700648,PF/C/F/UTIL,6200,MIA@TOR 11/25/2018 06:00PM ET,TOR,32.82
SF,Caris LeVert (11700652),Caris LeVert,11700652,SF/F/UTIL,6100,PHI@BKN 11/25/2018 06:00PM ET,BKN,32.04
PF,Pascal Siakam (11700655),Pascal Siakam,11700655,PF/F/UTIL,6100,MIA@TOR 11/25/2018 06:00PM ET,TOR,29.29
SG/SF,Jeremy Lamb (11700658),Jeremy Lamb,11700658,SG/SF/F/G/UTIL,6000,CHA@ATL 11/25/2018 06:00PM ET,CHA,26.92
C,Willie Cauley-Stein (11700663),Willie Cauley-Stein,11700663,C/UTIL,6000,UTA@SAC 11/25/2018 08:00PM ET,SAC,31.63
PG/SG,Spencer Dinwiddie (11700668),Spencer Dinwiddie,11700668,PG/SG/G/UTIL,5900,PHI@BKN 11/25/2018 06:00PM ET,BKN,27.68
