Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Giannis Antetokounmpo (11703150),Giannis Antetokounmpo,11703150,SF/PF/F/UTIL,11600,MIL@CHA 11/26/2018 07:00PM ET,MIL,56.72
PG/SG,James Harden (11703154),James Harden,11703154,PG/SG/G/UTIL,11400,HOU@WAS 11/26/2018 07:00PM ET,HOU,53.4
PF/C,Anthony Davis (11703158),Anthony Davis,11703158,PF/C/F/UTIL,11200,BOS@NO 11/26/2018 08:00PM ET,NO,58.84
SF/PF,Kevin Durant (11703162),Kevin Durant,11703162,SF/PF/F/UTIL,10900,ORL@GS 11/26/2018 10:30PM ET,GS,50.62
C,Karl-Anthony Towns (11703166),Karl-Anthony Towns,11703166,C/UTIL,10000,MIN@CLE 11/26/2018 07:00PM ET,MIN,44.34
PG/SG,Stephen Curry (11703168),Stephen Curry,11703168,PG/SG/G/UTIL,9500,ORL@GS 11/26/2018 10:30PM ET,GS,48.62
PG,Kemba Walker (11703172),Kemba Walker,11703172,PG/G/UTIL,9400,MIL@CHA 11/26/2018 07:00PM ET,CHA,47.10
PG,John Wall (11703175),John Wall,11703175,PG/G/UTIL,9000,HOU@WAS 11/26/2018 07:00PM ET,WAS,42.91
PG,Kyrie Irving (11703178),Kyrie Irving,11703178,PG/G/UTIL,8700,BOS@NO 11/26/2018 08:00PM ET,BOS,41.93
SG/SF,DeMar DeRozan (11703181),DeMar DeRozan,11703181,SG/SF/F/G/UTIL,8600,SA@CHI 11/26/2018 08:00PM ET,SA,43.5
PG/SG,Victor Oladipo (11703186),Victor Oladipo,11703186,PG/SG/G/UTIL,8500,IND@UTA 11/26/2018 09:00PM ET,IND,41.31
PG/SG,Jrue Holiday (11703190),Jrue Holiday,11703190,PG/SG/G/UTIL,8300,BOS@NO 11/26/2018 08:00PM ET,NO,43.42
PF/C,Kevin Love (11703194),Kevin Love,11703194,PF/C/F/UTIL,8200,MIN@CLE 11/26/2018 07:00PM ET,CLE,42.88
PF/C,LaMarcus Aldridge (11703198),LaMarcus Aldridge,11703198,PF/C/F/UTIL,8100,SA@CHI 11/26/2018 08:00PM ET,SA,38.40
PG,Chris Paul (11703202),Chris Paul,11703202,PG/G/UTIL,8000,HOU@WAS 11/26/2018 07:00PM ET,HOU,40.17
C,Clint Capela (11703205),Clint Capela,11703205,C/UTIL,7900,HOU@WAS 11/26/2018 07:00PM ET,HOU,39.89
C,Nikola Vucevic (11703207),Nikola Vucevic,11703207,C/UTIL,7800,ORL@GS 11/26/2018 10:30PM ET,ORL,44.76
PG/SG,Zach LaVine (11703209),Zach LaVine,11703209,PG/SG/G/UTIL,7700,SA@CHI 11/26/2018 08:00PM ET,CHI,40.92
PF/C,Julius Randle (11703213),Julius Randle,11703213,PF/C/F/UTIL,7600,BOS@NO 11/26/2018 08:00PM ET,NO,36.25
SG/SF,Khris Middleton (11703217),Khris Middleton,11703217,SG/SF/F/G/UTIL,7500,MIL@CHA 11/26/2018 07:00PM ET,MIL,35.70
SG,Bradley Beal (11703222),Bradley Beal,11703222,SG/G/UTIL,7400,HOU@WAS 11/26/2018 07:00PM ET,WAS,37.80
SG,Klay Thompson (11703225),Klay Thompson,11703225,SG/G/UTIL,7300,ORL@GS 11/26/2018 10:30PM ET,GS,33.33
PG/SG,Eric Bledsoe (11703228),Eric Bledsoe,11703228,PG/SG/G/UTIL,7200,MIL@CHA 11/26/2018 07:00PM ET,MIL,33.99
SF/PF,Aaron Gordon (11703236),Aaron Gordon,11703236,SF/PF/F/UTIL,7100,ORL@GS 11/26/2018 10:30PM ET,ORL,34.26
PG/SG,Donovan Mitchell (11703232),Donovan Mitchell,11703232,PG/SG/G/UTIL,7100,IND@UTA 11/26/2018 09:00PM ET,UTA,33.24
C,Rudy Gobert (11703244),Rudy Gobert,11703244,C/UTIL,7100,IND@UTA 11/26/2018 09:00PM ET,UTA,39.58
PF/C,Draymond Green (11703240),Draymond Green,11703240,PF/C/F/UTIL,7000,ORL@GS 11/26/2018 10:30PM ET,GS,31.12
SF/PF,Nikola Mirotic (11703246),Nikola Mirotic,11703246,SF/PF/F/UTIL,6900,BOS@NO 11/26/2018 08:00PM ET,NO,38.96
PF/C,Domantas Sabonis (11703250),Domantas Sabonis,11703250,PF/C/F/UTIL,6800,IND@UTA 11/26/2018 09:00PM ET,IND,32.89
PG/SG,Derrick Rose (11703254),Derrick Rose,11703254,PG/SG/G/UTIL,6700,MIN@CLE 11/26/2018 07:00PM ET,MIN,32.25
PG,Ricky Rubio (11703258),Ricky Rubio,11703258,PG/G/UTIL,6500,IND@UTA 11/26/2018 09:00PM ET,UTA,29.98
SF/PF,Jayson Tatum (11703261),Jayson Tatum,11703261,SF/PF/F/UTIL,6400,BOS@NO 11/26/2018 08:00PM ET,BOS,30.61
SF/PF,Jabari Parker (11703265),Jabari Parker,11703265,SF/PF/F/UTIL,6300,SA@CHI 11/26/2018 08:00PM ET,CHI,30.35
SF/PF,Rudy Gay (11703269),Rudy Gay,11703269,SF/PF/F/UTIL,6200,SA@CHI 11/26/2018 08:00PM ET,SA,30.12
PG,Jeff Teague (11703273),Jeff Teague,11703273,PG/G/UTIL,6100,MIN@CLE 11/26/2018 07:00PM ET,MIN,29.71
C,Tristan Thompson (11703276),Tristan Thompson,11703276,C/UTIL,6100,MIN@CLE 11/26/2018 07:00PM ET,CLE,30.72
PF/C,DeMarcus Cousins (11703280),DeMarcus Cousins,11703280,PF/C/F/UTIL,6000,ORL@GS 11/26/2018 10:30PM ET,GS,0
SG/SF,Joe Ingles (11703284),Joe Ingles,11703284,SG/SF/F/G/UTIL,6000,IND@UTA 11/26/2018 09:00PM ET,UTA,28.21
SF/PF,Robert Covington (11703294),Robert Covington,11703294,SF/PF/F/UTIL,5900,MIN@CLE 11/26/2018 07:00PM ET,MIN,27.49
SG/SF,Andrew Wiggins (11703289),Andrew Wiggins,11703289,SG/SF/F/G/UTIL,5800,MIN@CLE 11/26/2018 07:00PM ET,MIN,27.66
PG,Collin Sexton (11703311),Collin Sexton,11703311,PG/G/UTIL,5800,MIN@CLE 11/26/2018 07:00PM ET,CLE,22.14
C,Dwight Howard (11703278),Dwight Howard,11703278,C/UTIL,5800,HOU@WAS 11/26/2018 07:00PM ET,WAS,27.03
SF/PF,Otto Porter Jr. (11703303),Otto Porter Jr.,11703303,SF/PF/F/UTIL,5700,HOU@WAS 11/26/2018 07:00PM ET,WAS,26.06
PG/SG,Kris Dunn (11703307),Kris Dunn,11703307,PG/SG/G/UTIL,5600,SA@CHI 11/26/2018 08:00PM ET,CHI,23
SG/SF,Jeremy Lamb (11703298),Jeremy Lamb,11703298,SG/SF/F/G/UTIL,5600,MIL@CHA 11/26/2018 07:00PM ET,CHA,27.21
PG,Elfrid Payton (11703314),Elfrid Payton,11703314,PG/G/UTIL,5500,BOS@NO 11/26/2018 08:00PM ET,NO,26.12
SG/SF,Gordon Hayward (11703317),Gordon Hayward,11703317,SG/SF/F/G/UTIL,5500,BOS@NO 11/26/2018 08:00PM ET,BOS,24.96
PG/SG,Jordan Clarkson (11703322),Jordan Clarkson,11703322,PG/SG/G/UTIL,5400,MIN@CLE 11/26/2018 07:00PM ET,CLE,24.69
PF/C,Al Horford (11703326),Al Horford,11703326,PF/C/F/UTIL,5400,BOS@NO 11/26/2018 08:00PM ET,BOS,29.51
SG/SF,E'Twaun Moore (11703339),E'Twaun Moore,11703339,SG/SF/F/G/UTIL,5400,BOS@NO 11/26/2018 08:00PM ET,NO,25.21
