Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Joel Embiid (11700571),Joel Embiid,11700571,C/UTIL,10900,PHI@BKN 11/25/2018 06:00PM ET,PHI,55.4965276232
PG,Kemba Walker (11700573),Kemba Walker,11700573,PG/G/UTIL,9800,CHA@ATL 11/25/2018 06:00PM ET,CHA,48.4905733873
PG,Damian Lillard (11700576),Damian Lillard,11700576,PG/G/UTIL,9600,LAC@POR 11/25/2018 09:00PM ET,POR,45.3179555397
SF/PF,Kawhi Leonard (11700579),Kawhi Leonard,11700579,SF/PF/F/UTIL,9400,MIA@TOR 11/25/2018 06:00PM ET,TOR,44.5946049726
PG/SF,Ben Simmons (11700583),Ben Simmons,11700583,PG/SF/F/G/UTIL,9200,PHI@BKN 11/25/2018 06:00PM ET,PHI,39.9772069626
C,Marc Gasol (11700588),Marc Gasol,11700588,C/UTIL,8900,NYK@MEM 11/25/2018 06:00PM ET,MEM,47.0742536239
C,Hassan Whiteside (11700590),Hassan Whiteside,11700590,C/UTIL,8300,MIA@TOR 11/25/2018 06:00PM ET,MIA,35.3619507635
PG,Mike Conley (11700592),Mike Conley,11700592,PG/G/UTIL,8100,NYK@MEM 11/25/2018 06:00PM ET,MEM,40.2975904771
PG,Kyle Lowry (11700595),Kyle Lowry,11700595,PG/G/UTIL,8000,MIA@TOR 11/25/2018 06:00PM ET,TOR,35.4926356642
SF/PF,Tobias Harris (11700598),Tobias Harris,11700598,SF/PF/F/UTIL,7900,LAC@POR 11/25/2018 09:00PM ET,LAC,38.9564506077
PG,De'Aaron Fox (11700602),De'Aaron Fox,11700602,PG/G/UTIL,7700,UTA@SAC 11/25/2018 08:00PM ET,SAC,33.5350868772
PG/SG,D'Angelo Russell (11700605),D'Angelo Russell,11700605,PG/SG/G/UTIL,7600,PHI@BKN 11/25/2018 06:00PM ET,BKN,36.2312977413
C,Rudy Gobert (11700609),Rudy Gobert,11700609,C/UTIL,7400,UTA@SAC 11/25/2018 08:00PM ET,UTA,38.8560566265
PF/C,Montrezl Harrell (11700611),Montrezl Harrell,11700611,PF/C/F/UTIL,7300,LAC@POR 11/25/2018 09:00PM ET,LAC,41.6534356497
C,Jusuf Nurkic (11700624),Jusuf Nurkic,11700624,C/UTIL,7000,LAC@POR 11/25/2018 09:00PM ET,POR,38.0029896186
PG/SG,CJ McCollum (11700626),CJ McCollum,11700626,PG/SG/G/UTIL,6900,LAC@POR 11/25/2018 09:00PM ET,POR,29.9913602765
SG/SF,Josh Richardson (11700630),Josh Richardson,11700630,SG/SF/F/G/UTIL,6800,MIA@TOR 11/25/2018 06:00PM ET,MIA,30.5221252727
PG,Ricky Rubio (11700635),Ricky Rubio,11700635,PG/G/UTIL,6700,UTA@SAC 11/25/2018 08:00PM ET,UTA,33.3637448248
SG/SF,Tim Hardaway Jr. (11700638),Tim Hardaway Jr.,11700638,SG/SF/F/G/UTIL,6600,NYK@MEM 11/25/2018 06:00PM ET,NYK,31.7192271736
PG,Trae Young (11700643),Trae Young,11700643,PG/G/UTIL,6500,CHA@ATL 11/25/2018 06:00PM ET,ATL,26.2129211865
C,Enes Kanter (11700646),Enes Kanter,11700646,C/UTIL,6300,NYK@MEM 11/25/2018 06:00PM ET,NYK,31.0274228732
PF/C,Serge Ibaka (11700648),Serge Ibaka,11700648,PF/C/F/UTIL,6200,MIA@TOR 11/25/2018 06:00PM ET,TOR,34.3455809414
PF,Pascal Siakam (11700655),Pascal Siakam,11700655,PF/F/UTIL,6100,MIA@TOR 11/25/2018 06:00PM ET,TOR,32.6460181846
SG/SF,Jeremy Lamb (11700658),Jeremy Lamb,11700658,SG/SF/F/G/UTIL,6000,CHA@ATL 11/25/2018 06:00PM ET,CHA,33.4157837333
C,Willie Cauley-Stein (11700663),Willie Cauley-Stein,11700663,C/UTIL,6000,UTA@SAC 11/25/2018 08:00PM ET,SAC,26.8679922242
PG/SG,Spencer Dinwiddie (11700668),Spencer Dinwiddie,11700668,PG/SG/G/UTIL,5900,PHI@BKN 11/25/2018 06:00PM ET,BKN,31.428708567
PG/SG,Lou Williams (11700675),Lou Williams,11700675,PG/SG/G/UTIL,5900,LAC@POR 11/25/2018 09:00PM ET,LAC,32.492248364
