Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,LeBron James (11675694),LeBron James,11675694,SF/PF/F/UTIL,11600,LAL@CLE 11/21/2018 08:00PM ET,LAL,53.92
PF/C,Anthony Davis (11675698),Anthony Davis,11675698,PF/C/F/UTIL,11400,NO@PHI 11/21/2018 07:00PM ET,NO,59.04
SF/PF,Giannis Antetokounmpo (11675702),Giannis Antetokounmpo,11675702,SF/PF/F/UTIL,11200,POR@MIL 11/21/2018 08:00PM ET,MIL,54.67
PG/SG,James Harden (11675706),James Harden,11675706,PG/SG/G/UTIL,10900,DET@HOU 11/21/2018 08:00PM ET,HOU,51.27
C,Joel Embiid (11675710),Joel Embiid,11675710,C/UTIL,10800,NO@PHI 11/21/2018 07:00PM ET,PHI,55.67
PG,Russell Westbrook (11675712),Russell Westbrook,11675712,PG/G/UTIL,10700,OKC@GS 11/21/2018 10:30PM ET,OKC,52.78
SF/PF,Kevin Durant (11675715),Kevin Durant,11675715,SF/PF/F/UTIL,10600,OKC@GS 11/21/2018 10:30PM ET,GS,48.57
PG,Kemba Walker (11675719),Kemba Walker,11675719,PG/G/UTIL,9800,IND@CHA 11/21/2018 07:00PM ET,CHA,47.86
C,Nikola Jokic (11675722),Nikola Jokic,11675722,C/UTIL,9700,DEN@MIN 11/21/2018 08:00PM ET,DEN,45.24
PG/SG,Stephen Curry (11675733),Stephen Curry,11675733,PG/SG/G/UTIL,9500,OKC@GS 11/21/2018 10:30PM ET,GS,48.62
PF/C,Blake Griffin (11675729),Blake Griffin,11675729,PF/C/F/UTIL,9500,DET@HOU 11/21/2018 08:00PM ET,DET,47.89
SG/SF,Kawhi Leonard (11675724),Kawhi Leonard,11675724,SG/SF/F/G/UTIL,9500,TOR@ATL 11/21/2018 07:30PM ET,TOR,44.65
C,Andre Drummond (11675737),Andre Drummond,11675737,C/UTIL,9400,DET@HOU 11/21/2018 08:00PM ET,DET,47.34
PG,Damian Lillard (11675739),Damian Lillard,11675739,PG/G/UTIL,9200,POR@MIL 11/21/2018 08:00PM ET,POR,44.67
PG/SG,Victor Oladipo (11675742),Victor Oladipo,11675742,PG/SG/G/UTIL,9100,IND@CHA 11/21/2018 07:00PM ET,IND,41.31
PG,Kyrie Irving (11675746),Kyrie Irving,11675746,PG/G/UTIL,9000,NY@BOS 11/21/2018 07:30PM ET,BOS,42.22
SF/PF,Paul George (11675749),Paul George,11675749,SF/PF/F/UTIL,8900,OKC@GS 11/21/2018 10:30PM ET,OKC,47.41
C,Karl-Anthony Towns (11675753),Karl-Anthony Towns,11675753,C/UTIL,8800,DEN@MIN 11/21/2018 08:00PM ET,MIN,43.78
PG/SG,Devin Booker (11675755),Devin Booker,11675755,PG/SG/G/UTIL,8700,PHO@CHI 11/21/2018 08:00PM ET,PHO,41.02
PG/SF,Ben Simmons (11675759),Ben Simmons,11675759,PG/SF/F/G/UTIL,8600,NO@PHI 11/21/2018 07:00PM ET,PHI,41.97
SG/SF,DeMar DeRozan (11675764),DeMar DeRozan,11675764,SG/SF/F/G/UTIL,8400,MEM@SA 11/21/2018 08:30PM ET,SA,44.22
PG,Chris Paul (11675769),Chris Paul,11675769,PG/G/UTIL,8300,DET@HOU 11/21/2018 08:00PM ET,HOU,40.77
PG,Kyle Lowry (11675772),Kyle Lowry,11675772,PG/G/UTIL,8200,TOR@ATL 11/21/2018 07:30PM ET,TOR,40.29
PG/SG,Jrue Holiday (11675775),Jrue Holiday,11675775,PG/SG/G/UTIL,8100,NO@PHI 11/21/2018 07:00PM ET,NO,43
PF/C,Kevin Love (11675779),Kevin Love,11675779,PF/C/F/UTIL,8000,LAL@CLE 11/21/2018 08:00PM ET,CLE,42.88
