Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Giannis Antetokounmpo (11720115),Giannis Antetokounmpo,11720115,SF/PF/F/UTIL,12000,CHI@MIL 11/28/2018 08:00PM ET,MIL,56.86
PG/SG,James Harden (11720119),James Harden,11720119,PG/SG/G/UTIL,11600,DAL@HOU 11/28/2018 08:00PM ET,HOU,55.62
PF/C,Anthony Davis (11720123),Anthony Davis,11720123,PF/C/F/UTIL,11400,WAS@NO 11/28/2018 08:00PM ET,NO,59.19
C,Joel Embiid (11720127),Joel Embiid,11720127,C/UTIL,11200,NY@PHI 11/28/2018 07:00PM ET,PHI,55.46
PG,Russell Westbrook (11720129),Russell Westbrook,11720129,PG/G/UTIL,10900,CLE@OKC 11/28/2018 08:00PM ET,OKC,53.46
C,Karl-Anthony Towns (11720132),Karl-Anthony Towns,11720132,C/UTIL,9400,SA@MIN 11/28/2018 08:00PM ET,MIN,44.02
PG,Kemba Walker (11720137),Kemba Walker,11720137,PG/G/UTIL,9300,ATL@CHA 11/28/2018 07:00PM ET,CHA,46.75
PG,John Wall (11720134),John Wall,11720134,PG/G/UTIL,9100,WAS@NO 11/28/2018 08:00PM ET,WAS,43.75
PG,Damian Lillard (11720140),Damian Lillard,11720140,PG/G/UTIL,9000,ORL@POR 11/28/2018 10:00PM ET,POR,44.56
SF/PF,Paul George (11720143),Paul George,11720143,SF/PF/F/UTIL,8900,CLE@OKC 11/28/2018 08:00PM ET,OKC,47.59
PG/SG,Devin Booker (11720147),Devin Booker,11720147,PG/SG/G/UTIL,8800,PHO@LAC 11/28/2018 10:30PM ET,PHO,41.87
PG/SF,Ben Simmons (11720151),Ben Simmons,11720151,PG/SF/F/G/UTIL,8700,NY@PHI 11/28/2018 07:00PM ET,PHI,42.34
SG/SF,DeMar DeRozan (11720156),DeMar DeRozan,11720156,SG/SF/F/G/UTIL,8500,SA@MIN 11/28/2018 08:00PM ET,SA,43.22
SF/PF,Tobias Harris (11720161),Tobias Harris,11720161,SF/PF/F/UTIL,8400,PHO@LAC 11/28/2018 10:30PM ET,LAC,38.53
PG/SG,Jrue Holiday (11720165),Jrue Holiday,11720165,PG/SG/G/UTIL,8400,WAS@NO 11/28/2018 08:00PM ET,NO,43.05
PF/C,LaMarcus Aldridge (11720169),LaMarcus Aldridge,11720169,PF/C/F/UTIL,8300,SA@MIN 11/28/2018 08:00PM ET,SA,38.55
C,Nikola Vucevic (11720173),Nikola Vucevic,11720173,C/UTIL,8300,ORL@POR 11/28/2018 10:00PM ET,ORL,45.37
C,Clint Capela (11720175),Clint Capela,11720175,C/UTIL,8200,DAL@HOU 11/28/2018 08:00PM ET,HOU,40.24
PG/SG,Zach LaVine (11720177),Zach LaVine,11720177,PG/SG/G/UTIL,8100,CHI@MIL 11/28/2018 08:00PM ET,CHI,41.22
PF/C,Kevin Love (11720184),Kevin Love,11720184,PF/C/F/UTIL,8000,CLE@OKC 11/28/2018 08:00PM ET,CLE,42.88
SG,Bradley Beal (11720181),Bradley Beal,11720181,SG/G/UTIL,8000,WAS@NO 11/28/2018 08:00PM ET,WAS,38.12
PG,Chris Paul (11720188),Chris Paul,11720188,PG/G/UTIL,7900,DAL@HOU 11/28/2018 08:00PM ET,HOU,40.17
SG/SF,Jimmy Butler (11720191),Jimmy Butler,11720191,SG/SF/F/G/UTIL,7800,NY@PHI 11/28/2018 07:00PM ET,PHI,39.13
C,Rudy Gobert (11720196),Rudy Gobert,11720196,C/UTIL,7700,UTA@BKN 11/28/2018 07:30PM ET,UTA,38.86
PG/SG,D'Angelo Russell (11720198),D'Angelo Russell,11720198,PG/SG/G/UTIL,7600,UTA@BKN 11/28/2018 07:30PM ET,BKN,34.10
SG/SF,Khris Middleton (11720202),Khris Middleton,11720202,SG/SF/F/G/UTIL,7500,CHI@MIL 11/28/2018 08:00PM ET,MIL,35.48
SG/SF,Luka Doncic (11720207),Luka Doncic,11720207,SG/SF/F/G/UTIL,7400,DAL@HOU 11/28/2018 08:00PM ET,DAL,35.83
C,Deandre Ayton (11720212),Deandre Ayton,11720212,C/UTIL,7300,PHO@LAC 11/28/2018 10:30PM ET,PHO,36.58
PG/SG,Donovan Mitchell (11720214),Donovan Mitchell,11720214,PG/SG/G/UTIL,7300,UTA@BKN 11/28/2018 07:30PM ET,UTA,33.24
PF/C,Montrezl Harrell (11720222),Montrezl Harrell,11720222,PF/C/F/UTIL,7200,PHO@LAC 11/28/2018 10:30PM ET,LAC,32.71
PG/SG,CJ McCollum (11720218),CJ McCollum,11720218,PG/SG/G/UTIL,7200,ORL@POR 11/28/2018 10:00PM ET,POR,31.81
C,DeAndre Jordan (11720226),DeAndre Jordan,11720226,C/UTIL,7100,DAL@HOU 11/28/2018 08:00PM ET,DAL,35.10
SF/PF,Aaron Gordon (11720228),Aaron Gordon,11720228,SF/PF/F/UTIL,7000,ORL@POR 11/28/2018 10:00PM ET,ORL,33.02
PG/SG,Eric Bledsoe (11720239),Eric Bledsoe,11720239,PG/SG/G/UTIL,6900,CHI@MIL 11/28/2018 08:00PM ET,MIL,33.7
PG,Ricky Rubio (11720232),Ricky Rubio,11720232,PG/G/UTIL,6900,UTA@BKN 11/28/2018 07:30PM ET,UTA,29.63
SF/PF,Nikola Mirotic (11720235),Nikola Mirotic,11720235,SF/PF/F/UTIL,6900,WAS@NO 11/28/2018 08:00PM ET,NO,38.71
C,Jusuf Nurkic (11720245),Jusuf Nurkic,11720245,C/UTIL,6800,ORL@POR 11/28/2018 10:00PM ET,POR,34.76
C,Enes Kanter (11720243),Enes Kanter,11720243,C/UTIL,6800,NY@PHI 11/28/2018 07:00PM ET,NY,35.58
C,Steven Adams (11720247),Steven Adams,11720247,C/UTIL,6700,CLE@OKC 11/28/2018 08:00PM ET,OKC,36.10
PF/C,Julius Randle (11720249),Julius Randle,11720249,PF/C/F/UTIL,6700,WAS@NO 11/28/2018 08:00PM ET,NO,35.80
SF/PF,Jabari Parker (11720253),Jabari Parker,11720253,SF/PF/F/UTIL,6600,CHI@MIL 11/28/2018 08:00PM ET,CHI,30.69
PG,Trae Young (11720262),Trae Young,11720262,PG/G/UTIL,6600,ATL@CHA 11/28/2018 07:00PM ET,ATL,32.38
SG/SF,Tim Hardaway Jr. (11720257),Tim Hardaway Jr.,11720257,SG/SF/F/G/UTIL,6600,NY@PHI 11/28/2018 07:00PM ET,NY,34.60
SF/PF,T.J. Warren (11720265),T.J. Warren,11720265,SF/PF/F/UTIL,6500,PHO@LAC 11/28/2018 10:30PM ET,PHO,28.78
SG/SF,Jeremy Lamb (11720269),Jeremy Lamb,11720269,SG/SF/F/G/UTIL,6400,ATL@CHA 11/28/2018 07:00PM ET,CHA,27.92
PG/SG,Derrick Rose (11720274),Derrick Rose,11720274,PG/SG/G/UTIL,6400,SA@MIN 11/28/2018 08:00PM ET,MIN,31.67
SF/PF,Robert Covington (11720282),Robert Covington,11720282,SF/PF/F/UTIL,6300,SA@MIN 11/28/2018 08:00PM ET,MIN,28.32
SF/PF,Harrison Barnes (11720278),Harrison Barnes,11720278,SF/PF/F/UTIL,6300,DAL@HOU 11/28/2018 08:00PM ET,DAL,27.38
C,Tristan Thompson (11720286),Tristan Thompson,11720286,C/UTIL,6300,CLE@OKC 11/28/2018 08:00PM ET,CLE,31.09
SF/PF,Danilo Gallinari (11720288),Danilo Gallinari,11720288,SF/PF/F/UTIL,6200,PHO@LAC 11/28/2018 10:30PM ET,LAC,31.19
PG/SG,Spencer Dinwiddie (11720292),Spencer Dinwiddie,11720292,PG/SG/G/UTIL,6200,UTA@BKN 11/28/2018 07:30PM ET,BKN,28.39
PF/C,John Collins (11720299),John Collins,11720299,PF/C/F/UTIL,6100,ATL@CHA 11/28/2018 07:00PM ET,ATL,26.54
PG,Jeff Teague (11720296),Jeff Teague,11720296,PG/G/UTIL,6100,SA@MIN 11/28/2018 08:00PM ET,MIN,29.8
PG/SG,Caris LeVert (11720307),Caris LeVert,11720307,PG/SG/G/UTIL,6000,UTA@BKN 11/28/2018 07:30PM ET,BKN,32.04
PG/SG,Dennis Schroder (11720303),Dennis Schroder,11720303,PG/SG/G/UTIL,6000,CLE@OKC 11/28/2018 08:00PM ET,OKC,32.92
SF/PF,Rudy Gay (11720320),Rudy Gay,11720320,SF/PF/F/UTIL,5900,SA@MIN 11/28/2018 08:00PM ET,SA,29.22
SG/SF,Joe Ingles (11720315),Joe Ingles,11720315,SG/SF/F/G/UTIL,5900,UTA@BKN 11/28/2018 07:30PM ET,UTA,28.13
SF/PF,Otto Porter Jr. (11720311),Otto Porter Jr.,11720311,SF/PF/F/UTIL,5900,WAS@NO 11/28/2018 08:00PM ET,WAS,26.32
SG/SF,Eric Gordon (11720324),Eric Gordon,11720324,SG/SF/F/G/UTIL,5800,DAL@HOU 11/28/2018 08:00PM ET,HOU,24.83
C,Dwight Howard (11720329),Dwight Howard,11720329,C/UTIL,5800,WAS@NO 11/28/2018 08:00PM ET,WAS,27.03
PG/SG,Lou Williams (11720338),Lou Williams,11720338,PG/SG/G/UTIL,5700,PHO@LAC 11/28/2018 10:30PM ET,LAC,28.68
PG,Collin Sexton (11720335),Collin Sexton,11720335,PG/G/UTIL,5700,CLE@OKC 11/28/2018 08:00PM ET,CLE,22.22
PF/C,Noah Vonleh (11720331),Noah Vonleh,11720331,PF/C/F/UTIL,5700,NY@PHI 11/28/2018 07:00PM ET,NY,25.01
PG/SG,Malcolm Brogdon (11720342),Malcolm Brogdon,11720342,PG/SG/G/UTIL,5600,CHI@MIL 11/28/2018 08:00PM ET,MIL,26.41
PG/SG,Kris Dunn (11720346),Kris Dunn,11720346,PG/SG/G/UTIL,5600,CHI@MIL 11/28/2018 08:00PM ET,CHI,23
SG/SF,Andrew Wiggins (11720350),Andrew Wiggins,11720350,SG/SF/F/G/UTIL,5600,SA@MIN 11/28/2018 08:00PM ET,MIN,27.66
C,Jarrett Allen (11720363),Jarrett Allen,11720363,C/UTIL,5500,UTA@BKN 11/28/2018 07:30PM ET,BKN,29.64
SG/SF,Evan Fournier (11720355),Evan Fournier,11720355,SG/SF/F/G/UTIL,5500,ORL@POR 11/28/2018 10:00PM ET,ORL,27.56
PG,Elfrid Payton (11720360),Elfrid Payton,11720360,PG/G/UTIL,5500,WAS@NO 11/28/2018 08:00PM ET,NO,26.12
SG/SF,Justin Holiday (11720365),Justin Holiday,11720365,SG/SF/F/G/UTIL,5400,CHI@MIL 11/28/2018 08:00PM ET,CHI,27.74
SF/PF,Trevor Ariza (11720374),Trevor Ariza,11720374,SF/PF/F/UTIL,5300,PHO@LAC 11/28/2018 10:30PM ET,PHO,24.83
PF/C,Larry Nance Jr. (11720370),Larry Nance Jr.,11720370,PF/C/F/UTIL,5300,CLE@OKC 11/28/2018 08:00PM ET,CLE,23.5
PF/C,Rondae Hollis-Jefferson (11720378),Rondae Hollis-Jefferson,11720378,PF/C/F/UTIL,5200,UTA@BKN 11/28/2018 07:30PM ET,BKN,20.96
PG,Dennis Smith Jr. (11720382),Dennis Smith Jr.,11720382,PG/G/UTIL,5200,DAL@HOU 11/28/2018 08:00PM ET,DAL,25.36
SG/SF,JJ Redick (11720385),JJ Redick,11720385,SG/SF/F/G/UTIL,5200,NY@PHI 11/28/2018 07:00PM ET,PHI,27.24
PF,Lauri Markkanen (11720394),Lauri Markkanen,11720394,PF/F/UTIL,5100,CHI@MIL 11/28/2018 08:00PM ET,CHI,0
SF,Taurean Prince (11720397),Taurean Prince,11720397,SF/F/UTIL,5100,ATL@CHA 11/28/2018 07:00PM ET,ATL,26.72
PG/SG,Jordan Clarkson (11720400),Jordan Clarkson,11720400,PG/SG/G/UTIL,5100,CLE@OKC 11/28/2018 08:00PM ET,CLE,23.84
SF/PF,Markieff Morris (11720390),Markieff Morris,11720390,SF/PF/F/UTIL,5100,WAS@NO 11/28/2018 08:00PM ET,WAS,22.92
PF/C,Bobby Portis (11720412),Bobby Portis,11720412,PF/C/F/UTIL,5000,CHI@MIL 11/28/2018 08:00PM ET,CHI,29.12
PF/C,Wendell Carter Jr. (11720420),Wendell Carter Jr.,11720420,PF/C/F/UTIL,5000,CHI@MIL 11/28/2018 08:00PM ET,CHI,27.34
PG/SG,Shai Gilgeous-Alexander (11720416),Shai Gilgeous-Alexander,11720416,PG/SG/G/UTIL,5000,PHO@LAC 11/28/2018 10:30PM ET,LAC,21.33
PG/SG,Jeremy Lin (11720408),Jeremy Lin,11720408,PG/SG/G/UTIL,5000,ATL@CHA 11/28/2018 07:00PM ET,ATL,20.36
PG/SG,J.J. Barea (11720404),J.J. Barea,11720404,PG/SG/G/UTIL,5000,DAL@HOU 11/28/2018 08:00PM ET,DAL,23.68
SG/SF,E'Twaun Moore (11720424),E'Twaun Moore,11720424,SG/SF/F/G/UTIL,5000,WAS@NO 11/28/2018 08:00PM ET,NO,24.37
SG/SF,Kent Bazemore (11720437),Kent Bazemore,11720437,SG/SF/F/G/UTIL,4900,ATL@CHA 11/28/2018 07:00PM ET,ATL,25.79
SF/PF,Cedi Osman (11720433),Cedi Osman,11720433,SF/PF/F/UTIL,4900,CLE@OKC 11/28/2018 08:00PM ET,CLE,23.5
PG/SG,Trey Burke (11720429),Trey Burke,11720429,PG/SG/G/UTIL,4900,NY@PHI 11/28/2018 07:00PM ET,NY,22.22
C,Brook Lopez (11720442),Brook Lopez,11720442,C/UTIL,4800,CHI@MIL 11/28/2018 08:00PM ET,MIL,22.71
SG/SF,Nicolas Batum (11720448),Nicolas Batum,11720448,SG/SF/F/G/UTIL,4800,ATL@CHA 11/28/2018 07:00PM ET,CHA,24.18
PF/C,Derrick Favors (11720444),Derrick Favors,11720444,PF/C/F/UTIL,4800,UTA@BKN 11/28/2018 07:30PM ET,UTA,24.95
PF,Dario Saric (11720456),Dario Saric,11720456,PF/F/UTIL,4700,SA@MIN 11/28/2018 08:00PM ET,MIN,22.9
PG,Emmanuel Mudiay (11720453),Emmanuel Mudiay,11720453,PG/G/UTIL,4700,NY@PHI 11/28/2018 07:00PM ET,NY,20.72
SF/PF,Jae Crowder (11720459),Jae Crowder,11720459,SF/PF/F/UTIL,4600,UTA@BKN 11/28/2018 07:30PM ET,UTA,24.24
SF/PF,Al-Farouq Aminu (11720468),Al-Farouq Aminu,11720468,SF/PF/F/UTIL,4600,ORL@POR 11/28/2018 10:00PM ET,POR,22.54
SG/SF,Rodney Hood (11720463),Rodney Hood,11720463,SG/SF/F/G/UTIL,4600,CLE@OKC 11/28/2018 08:00PM ET,CLE,21.71
SF/PF,Marvin Williams (11720472),Marvin Williams,11720472,SF/PF/F/UTIL,4500,ATL@CHA 11/28/2018 07:00PM ET,CHA,19.95
SG/SF,Wesley Matthews (11720476),Wesley Matthews,11720476,SG/SF/F/G/UTIL,4500,DAL@HOU 11/28/2018 08:00PM ET,DAL,25.61
PG/SG,Patrick Beverley (11720490),Patrick Beverley,11720490,PG/SG/G/UTIL,4400,PHO@LAC 11/28/2018 10:30PM ET,LAC,20.42
SG/SF,Terrence Ross (11720485),Terrence Ross,11720485,SG/SF/F/G/UTIL,4400,ORL@POR 11/28/2018 10:00PM ET,ORL,23.5
SF/PF,P.J. Tucker (11720481),P.J. Tucker,11720481,SF/PF/F/UTIL,4400,DAL@HOU 11/28/2018 08:00PM ET,HOU,21.5
PF/C,Taj Gibson (11720505),Taj Gibson,11720505,PF/C/F/UTIL,4300,SA@MIN 11/28/2018 08:00PM ET,MIN,24.57
PG,D.J. Augustin (11720494),D.J. Augustin,11720494,PG/G/UTIL,4300,ORL@POR 11/28/2018 10:00PM ET,ORL,22.75
PF/C,Dirk Nowitzki (11720497),Dirk Nowitzki,11720497,PF/C/F/UTIL,4300,DAL@HOU 11/28/2018 08:00PM ET,DAL,0
SF/PF,Jerami Grant (11720501),Jerami Grant,11720501,SF/PF/F/UTIL,4300,CLE@OKC 11/28/2018 08:00PM ET,OKC,23.91
SG/SF,DeAndre' Bembry (11720513),DeAndre' Bembry,11720513,SG/SF/F/G/UTIL,4200,ATL@CHA 11/28/2018 07:00PM ET,ATL,21.68
PG/SG,Bryn Forbes (11720509),Bryn Forbes,11720509,PG/SG/G/UTIL,4200,SA@MIN 11/28/2018 08:00PM ET,SA,20.86
SG/SF,Kelly Oubre Jr. (11720518),Kelly Oubre Jr.,11720518,SG/SF/F/G/UTIL,4200,WAS@NO 11/28/2018 08:00PM ET,WAS,21.49
C,Cody Zeller (11720523),Cody Zeller,11720523,C/UTIL,4100,ATL@CHA 11/28/2018 07:00PM ET,CHA,21.75
SG,Alec Burks (11720525),Alec Burks,11720525,SG/G/UTIL,4100,UTA@BKN 11/28/2018 07:30PM ET,UTA,13.37
SG/SF,Joe Harris (11720533),Joe Harris,11720533,SG/SF/F/G/UTIL,4100,UTA@BKN 11/28/2018 07:30PM ET,BKN,22.43
SG/SF,Evan Turner (11720528),Evan Turner,11720528,SG/SF/F/G/UTIL,4100,ORL@POR 11/28/2018 10:00PM ET,POR,22.49
PF/C,Dewayne Dedmon (11720548),Dewayne Dedmon,11720548,PF/C/F/UTIL,4000,ATL@CHA 11/28/2018 07:00PM ET,ATL,21.4
C,Meyers Leonard (11720538),Meyers Leonard,11720538,C/UTIL,4000,ORL@POR 11/28/2018 10:00PM ET,POR,14.57
PF/C,Zach Collins (11720540),Zach Collins,11720540,PF/C/F/UTIL,4000,ORL@POR 11/28/2018 10:00PM ET,POR,17.94
SF/PF,Jeff Green (11720544),Jeff Green,11720544,SF/PF/F/UTIL,4000,WAS@NO 11/28/2018 08:00PM ET,WAS,21.51
PG,Ryan Arcidiacono (11720552),Ryan Arcidiacono,11720552,PG/G/UTIL,3900,CHI@MIL 11/28/2018 08:00PM ET,CHI,19.35
PG/SG,Patty Mills (11720555),Patty Mills,11720555,PG/SG/G/UTIL,3900,SA@MIN 11/28/2018 08:00PM ET,SA,19.68
C,Pau Gasol (11720559),Pau Gasol,11720559,C/UTIL,3900,SA@MIN 11/28/2018 08:00PM ET,SA,21.64
SF/PF,Sam Dekker (11720561),Sam Dekker,11720561,SF/PF/F/UTIL,3900,CLE@OKC 11/28/2018 08:00PM ET,CLE,14.86
SG,Avery Bradley (11720565),Avery Bradley,11720565,SG/G/UTIL,3800,PHO@LAC 11/28/2018 10:30PM ET,LAC,13.5
SF/PF,Michael Kidd-Gilchrist (11720568),Michael Kidd-Gilchrist,11720568,SF/PF/F/UTIL,3800,ATL@CHA 11/28/2018 07:00PM ET,CHA,21.21
SG/SF,Allen Crabbe (11720583),Allen Crabbe,11720583,SG/SF/F/G/UTIL,3800,UTA@BKN 11/28/2018 07:30PM ET,BKN,15.19
SF/PF,Dorian Finney-Smith (11720572),Dorian Finney-Smith,11720572,SF/PF/F/UTIL,3800,DAL@HOU 11/28/2018 08:00PM ET,DAL,18.94
PG/SG,George Hill (11720576),George Hill,11720576,PG/SG/G/UTIL,3800,CLE@OKC 11/28/2018 08:00PM ET,CLE,21.48
SG,Allonzo Trier (11720580),Allonzo Trier,11720580,SG/G/UTIL,3800,NY@PHI 11/28/2018 07:00PM ET,NY,20.28
SG/SF,Pat Connaughton (11720588),Pat Connaughton,11720588,SG/SF/F/G/UTIL,3700,CHI@MIL 11/28/2018 08:00PM ET,MIL,17.75
PF/C,Davis Bertans (11720600),Davis Bertans,11720600,PF/C/F/UTIL,3700,SA@MIN 11/28/2018 08:00PM ET,SA,13.17
SF,Royce O'Neale (11720593),Royce O'Neale,11720593,SF/F/UTIL,3700,UTA@BKN 11/28/2018 07:30PM ET,UTA,9.55
SF/PF,Jonathan Isaac (11720596),Jonathan Isaac,11720596,SF/PF/F/UTIL,3700,ORL@POR 11/28/2018 10:00PM ET,ORL,19.13
SG/SF,James Ennis III (11720609),James Ennis III,11720609,SG/SF/F/G/UTIL,3700,DAL@HOU 11/28/2018 08:00PM ET,HOU,15.5
SG/SF,David Nwaba (11720604),David Nwaba,11720604,SG/SF/F/G/UTIL,3700,CLE@OKC 11/28/2018 08:00PM ET,CLE,12.79
C,Marcin Gortat (11720626),Marcin Gortat,11720626,C/UTIL,3600,PHO@LAC 11/28/2018 10:30PM ET,LAC,15.97
PG,Tony Parker (11720614),Tony Parker,11720614,PG/G/UTIL,3600,ATL@CHA 11/28/2018 07:00PM ET,CHA,18.88
C,Alex Len (11720628),Alex Len,11720628,C/UTIL,3600,ATL@CHA 11/28/2018 07:00PM ET,ATL,21.31
SG/SF,Marco Belinelli (11720621),Marco Belinelli,11720621,SG/SF/F/G/UTIL,3600,SA@MIN 11/28/2018 08:00PM ET,SA,17.04
SF/PF,Dante Cunningham (11720630),Dante Cunningham,11720630,SF/PF/F/UTIL,3600,SA@MIN 11/28/2018 08:00PM ET,SA,14.78
SF/PF,Wilson Chandler (11720617),Wilson Chandler,11720617,SF/PF/F/UTIL,3600,NY@PHI 11/28/2018 07:00PM ET,PHI,13.84
SF/PF,Mike Scott (11720641),Mike Scott,11720641,SF/PF/F/UTIL,3500,PHO@LAC 11/28/2018 10:30PM ET,LAC,12.59
SG/SF,Mikal Bridges (11720653),Mikal Bridges,11720653,SG/SF/F/G/UTIL,3500,PHO@LAC 11/28/2018 10:30PM ET,PHO,15.30
PG/SG,Derrick White (11720645),Derrick White,11720645,PG/SG/G/UTIL,3500,SA@MIN 11/28/2018 08:00PM ET,SA,12.98
PF/C,Ed Davis (11720658),Ed Davis,11720658,PF/C/F/UTIL,3500,UTA@BKN 11/28/2018 07:30PM ET,BKN,18.56
SF/PF,DeMarre Carroll (11720662),DeMarre Carroll,11720662,SF/PF/F/UTIL,3500,UTA@BKN 11/28/2018 07:30PM ET,BKN,16.18
C,Mohamed Bamba (11720634),Mohamed Bamba,11720634,C/UTIL,3500,ORL@POR 11/28/2018 10:00PM ET,ORL,17.43
SF/PF,Carmelo Anthony (11720649),Carmelo Anthony,11720649,SF/PF/F/UTIL,3500,DAL@HOU 11/28/2018 08:00PM ET,HOU,23.75
SG/SF,Kyle Korver (11720636),Kyle Korver,11720636,SG/SF/F/G/UTIL,3500,CLE@OKC 11/28/2018 08:00PM ET,CLE,11.48
PG/SG,Austin Rivers (11720666),Austin Rivers,11720666,PG/SG/G/UTIL,3500,WAS@NO 11/28/2018 08:00PM ET,WAS,14.15
PF/C,Mike Muscala (11720670),Mike Muscala,11720670,PF/C/F/UTIL,3500,NY@PHI 11/28/2018 07:00PM ET,PHI,16.36
PG,Shaquille Harrison (11720674),Shaquille Harrison,11720674,PG/G/UTIL,3400,CHI@MIL 11/28/2018 08:00PM ET,CHI,18.19
PF/C,Richaun Holmes (11720677),Richaun Holmes,11720677,PF/C/F/UTIL,3400,PHO@LAC 11/28/2018 10:30PM ET,PHO,13.09
PG/SG,Jamal Crawford (11720698),Jamal Crawford,11720698,PG/SG/G/UTIL,3400,PHO@LAC 11/28/2018 10:30PM ET,PHO,11.69
C,Boban Marjanovic (11720702),Boban Marjanovic,11720702,C/UTIL,3400,PHO@LAC 11/28/2018 10:30PM ET,LAC,16.86
