Player,Team,Update,Description
Kent Bazemore\bazemke01,Atlanta Hawks,Fri Nov 23 2018,Out (Ankle) - Bazemore left Friday's (Nov 23) game with an ankle injury and will not return.
Alex Poythress\poythal01,Atlanta Hawks,Thu Nov 22 2018,Out (Ankle) - The Hawks have listed Poythress as OUT for Friday's game (Nov. 23) against the Celtics.
Jabari Bird\birdja01,Boston Celtics,Wed Oct 31 2018,Out (Personal) - Bird is still on a leave of absence from the team until he handles his legal issues.
Al Horford\horfoal01,Boston Celtics,Fri Nov 23 2018,Day To Day (Sore Knee) - Horford did not play in Friday's (Nov 23) game.
Treveon Graham\grahatr01,Brooklyn Nets,Tue Oct 23 2018,Out (Left hamstring) - Graham has been diagnosed with a strained left hamstring and is expected to be out for two months according to The Athletics' Shams Charania.
Caris LeVert\leverca01,Brooklyn Nets,Tue Nov 13 2018,Out (Right Foot Dislocation) - LeVert has been diagnosed with a dislocation of his right foot and will not require surgery.
Michael Kidd-Gilchrist\kiddgmi01,Charlotte Hornets,Thu Nov 22 2018,Out (Right Ankle Sprain) - The Hornets have listed Kidd-Gilchrist as OUT for Friday's game (Nov. 23) against the Thunder.
Tony Parker\parketo01,Charlotte Hornets,Fri Nov 23 2018,Day To Day (Rib) - Parker did not play in Friday's (Nov 23) game.
Kris Dunn\dunnkr01,Chicago Bulls,Tue Oct 23 2018,Out (Knee) - The Bulls announced Dunn will miss four-to-six weeks with a moderate MCL sprain.
Chandler Hutchison\hutchch01,Chicago Bulls,Fri Nov 23 2018,Day To Day (Back Spasms) - Hutchison didnot play in Friday's game (Nov. 23) against the Heat.
Lauri Markkanen\markkla01,Chicago Bulls,Thu Nov 22 2018,Out (Elbow) - Markkanen is making progress and could start contact in practice sometime next week according to a report from the Chicago Sun-Times. The hope is that he's able to return to action sometime in the next few weeks.
Bobby Portis\portibo01,Chicago Bulls,Thu Oct 25 2018,Out (Knee) - Portis is slated to miss 4-6 weeks with a sprained MCL in his right knee according to Malika Andrews of ESPN.
Denzel Valentine\valende01,Chicago Bulls,Mon Nov 19 2018,Out (Ankle) - The Bulls announced Valentine will undergo surgery on his ankle and his recovery time is 4-6 months.
Sam Dekker\dekkesa01,Cleveland Cavaliers,Wed Nov 7 2018,Out (Left Ankle Sprain) - The Cavs announced that Dekker is dealing with a left ankle sprain. He will miss at least the next 2-4 weeks of action.
George Hill\hillge01,Cleveland Cavaliers,Thu Nov 8 2018,Out (Shoulder) - Hill will miss two weeks with a sprained right shoulder according to Adrian Wojnarowski of ESPN.
Kevin Love\loveke01,Cleveland Cavaliers,Wed Nov 21 2018,Out (Toe) - Love said he doesn't expect to return to action until at least January according to a report from ESPN.com. He had toe surgery in early November and has been out ever since.
Wesley Matthews\matthwe02,Dallas Mavericks,Fri Nov 23 2018,Day To Day (Hamstring) - Matthews is listed as Questionable for Saturday's (Nov 24) game.
Dirk Nowitzki\nowitdi01,Dallas Mavericks,Wed Nov 7 2018,Out (Foot) - Nowitzki is still rehabbing and head coach Rick Carlisle said he'd be excited if he was able to play sometime this month according to Eddie Sefko of the Dallas Morning News.
Dwight Powell\poweldw01,Dallas Mavericks,Fri Nov 23 2018,Out (Left knee) - Powell has been ruled OUT for Saturday's (Nov 24) game.
Dennis Smith\smithde03,Dallas Mavericks,Fri Nov 23 2018,Day To Day (Wrist) - Smith is listed as Questionable for Saturday's (Nov 24) game.
Will Barton\bartowi01,Denver Nuggets,Tue Oct 23 2018,Out (Right Hip/Core Strain) - Barton had surgery to repair hip and core muscles. He's expected to miss at least six weeks of action according to a report from the Denver Post.
Michael Porter\portemi01,Denver Nuggets,Thu Nov 1 2018,Out (Back) - Porter does not have a timetable for a return according to Harrison Wind of BSNDenver.com.
Isaiah Thomas\thomais02,Denver Nuggets,Thu Nov 1 2018,Out (Hip) - Thomas does not have a timetable for a return according to Harrison Wind of BSNDenver.com.
Jarred Vanderbilt\vandeja01,Denver Nuggets,Thu Nov 1 2018,Out (Foot) - Vanderbilt does not have a timetable for a return according to Harrison Wind of BSNDenver.com.
Henry Ellenson\ellenhe01,Detroit Pistons,Thu Nov 22 2018,Out (Nasal Fracture) - The Pistons have listed Ellenson as OUT for Friday's game (Nov. 23) against the Rockets.
Luke Kennard\kennalu01,Detroit Pistons,Thu Nov 15 2018,Out (Shoulder) - Kennard is making progress and is expected to miss about two more weeks of action according to James Edwards III of The Athletic.
DeMarcus Cousins\couside01,Golden State Warriors,Thu Oct 11 2018,Out (Achilles) - Cousins is making progress but there is no timetable for his return according to a report from the San Francisco Chronicle.
Stephen Curry\curryst01,Golden State Warriors,Tue Nov 20 2018,Out (Left Groin Strain) - The Warriors announced G Stephen Curry will miss the next three games.
Draymond Green\greendr01,Golden State Warriors,Fri Nov 23 2018,Out (Toe) - Green has been ruled OUT for Friday's (Nov 23) game.
Alfonzo McKinnie\mckinal01,Golden State Warriors,Fri Nov 23 2018,Out (Foot) - McKinnie has been ruled OUT for Friday's (Nov 23) game.
Nene Hilario\hilarne01,Houston Rockets,Thu Nov 22 2018,Out (Right Calf Strain) - The Rockets have listed Nene as OUT for Friday's game (Nov. 23) against the Pistons.
