Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Thu Nov 1 2018,7:30p,Sacramento Kings,146,Atlanta Hawks,115,Box Score,,12095,
Thu Nov 1 2018,8:00p,Milwaukee Bucks,113,Boston Celtics,117,Box Score,,18624,
Thu Nov 1 2018,7:00p,Oklahoma City Thunder,111,Charlotte Hornets,107,Box Score,,14583,
Thu Nov 1 2018,7:00p,Denver Nuggets,110,Cleveland Cavaliers,91,Box Score,,19432,
Thu Nov 1 2018,7:00p,Los Angeles Clippers,113,Philadelphia 76ers,122,Box Score,,20246,
Thu Nov 1 2018,10:30p,New Orleans Pelicans,119,Portland Trail Blazers,132,Box Score,,18921,
Fri Nov 2 2018,7:30p,Houston Rockets,119,Brooklyn Nets,111,Box Score,,14013,
Fri Nov 2 2018,8:00p,Indiana Pacers,107,Chicago Bulls,105,Box Score,,19704,
Fri Nov 2 2018,8:30p,New York Knicks,118,Dallas Mavericks,106,Box Score,,20008,
Fri Nov 2 2018,10:30p,Minnesota Timberwolves,99,Golden State Warriors,116,Box Score,,19596,
Fri Nov 2 2018,7:00p,Los Angeles Clippers,120,Orlando Magic,95,Box Score,,15953,
Fri Nov 2 2018,10:00p,Toronto Raptors,107,Phoenix Suns,98,Box Score,,15843,
Fri Nov 2 2018,9:00p,Memphis Grizzlies,110,Utah Jazz,100,Box Score,,18306,
Fri Nov 2 2018,8:00p,Oklahoma City Thunder,134,Washington Wizards,111,Box Score,,20409,
Sat Nov 3 2018,7:30p,Miami Heat,118,Atlanta Hawks,123,Box Score,,16303,
Sat Nov 3 2018,8:00p,Houston Rockets,96,Chicago Bulls,88,Box Score,,20505,
Sat Nov 3 2018,7:00p,Cleveland Cavaliers,94,Charlotte Hornets,126,Box Score,,16221,
Sat Nov 3 2018,9:00p,Utah Jazz,88,Denver Nuggets,103,Box Score,,19520,
Sat Nov 3 2018,7:00p,Boston Celtics,101,Indiana Pacers,102,Box Score,,17505,
Sat Nov 3 2018,1:00p,Detroit Pistons,99,Philadelphia 76ers,109,Box Score,,20289,
Sat Nov 3 2018,10:00p,LA Lakers,114,Portland Trail Blazers,110,Box Score,,19848,
Sat Nov 3 2018,8:30p,New Orleans Pelicans,95,San Antonio Spurs,109,Box Score,,18354,
Sun Nov 4 2018,6:00p,Philadelphia 76ers,97,Brooklyn Nets,122,Box Score,,12826,
Sun Nov 4 2018,9:30p,Toronto Raptors,121,LA Lakers,107,Box Score,,18997,
Sun Nov 4 2018,3:30p,Sacramento Kings,109,Milwaukee Bucks,144,Box Score,,17341,
Sun Nov 4 2018,8:00p,Memphis Grizzlies,100,Phoenix Suns,102,Box Score,,13074,
Sun Nov 4 2018,9:00p,Minnesota Timberwolves,81,Portland Trail Blazers,111,Box Score,,19522,
Sun Nov 4 2018,7:00p,Orlando Magic,117,San Antonio Spurs,110,Box Score,,18354,
Sun Nov 4 2018,6:00p,New York Knicks,95,Washington Wizards,108,Box Score,,16679,
Mon Nov 5 2018,9:00p,Boston Celtics,107,Denver Nuggets,115,Box Score,,19520,
Mon Nov 5 2018,7:00p,Miami Heat,120,Detroit Pistons,115,Box Score,OT,14148,
Mon Nov 5 2018,10:30p,Memphis Grizzlies,101,Golden State Warriors,117,Box Score,,19596,
Mon Nov 5 2018,7:00p,Houston Rockets,98,Indiana Pacers,94,Box Score,,14735,
Mon Nov 5 2018,10:30p,Minnesota Timberwolves,109,Los Angeles Clippers,120,Box Score,,16564,
Mon Nov 5 2018,7:30p,Chicago Bulls,116,New York Knicks,115,Box Score,2OT,19812,
Mon Nov 5 2018,8:00p,New Orleans Pelicans,116,Oklahoma City Thunder,122,Box Score,,18203,
Mon Nov 5 2018,7:00p,Cleveland Cavaliers,100,Orlando Magic,102,Box Score,,15009,
Mon Nov 5 2018,9:00p,Toronto Raptors,124,Utah Jazz,111,Box Score,,18306,
Tue Nov 6 2018,7:00p,Atlanta Hawks,102,Charlotte Hornets,113,Box Score,,13955,
Tue Nov 6 2018,8:30p,Washington Wizards,100,Dallas Mavericks,119,Box Score,,19234,
Tue Nov 6 2018,9:00p,Brooklyn Nets,104,Phoenix Suns,82,Box Score,,14205,
Tue Nov 6 2018,10:00p,Milwaukee Bucks,103,Portland Trail Blazers,118,Box Score,,19512,
Wed Nov 7 2018,7:30p,New York Knicks,112,Atlanta Hawks,107,Box Score,,12412,
Wed Nov 7 2018,7:00p,Oklahoma City Thunder,95,Cleveland Cavaliers,86,Box Score,,19432,
Wed Nov 7 2018,8:00p,Philadelphia 76ers,100,Indiana Pacers,94,Box Score,,16434,
Wed Nov 7 2018,10:30p,Minnesota Timberwolves,110,LA Lakers,114,Box Score,,1897,
Wed Nov 7 2018,8:00p,Denver Nuggets,87,Memphis Grizzlies,89,Box Score,,15832,
Wed Nov 7 2018,7:30p,San Antonio Spurs,88,Miami Heat,95,Box Score,,19600,
Wed Nov 7 2018,8:00p,Chicago Bulls,98,New Orleans Pelicans,107,Box Score,,15514,
Wed Nov 7 2018,7:00p,Detroit Pistons,103,Orlando Magic,96,Box Score,,16103,
Wed Nov 7 2018,10:00p,Toronto Raptors,114,Sacramento Kings,105,Box Score,,17583,
Wed Nov 7 2018,9:00p,Dallas Mavericks,102,Utah Jazz,117,Box Score,,18306,
Thu Nov 8 2018,10:30p,Milwaukee Bucks,134,Golden State Warriors,111,Box Score,,19596,
Thu Nov 8 2018,8:00p,Houston Rockets,80,Oklahoma City Thunder,98,Box Score,,18203,
Thu Nov 8 2018,9:00p,Boston Celtics,116,Phoenix Suns,109,Box Score,OT,17359,
Thu Nov 8 2018,10:00p,Los Angeles Clippers,105,Portland Trail Blazers,116,Box Score,,19170,
Fri Nov 9 2018,7:30p,Detroit Pistons,124,Atlanta Hawks,109,Box Score,,14759,
Fri Nov 9 2018,9:00p,Brooklyn Nets,112,Denver Nuggets,110,Box Score,,19520,
Fri Nov 9 2018,8:00p,Indiana Pacers,110,Miami Heat,102,Box Score,,19600,
Fri Nov 9 2018,7:00p,Washington Wizards,108,Orlando Magic,117,Box Score,,16562,
Fri Nov 9 2018,7:00p,Charlotte Hornets,132,Philadelphia 76ers,133,Box Score,OT,20424,
Fri Nov 9 2018,10:00p,Minnesota Timberwolves,110,Sacramento Kings,121,Box Score,,17583,
Fri Nov 9 2018,9:30p,Boston Celtics,115,Utah Jazz,123,Box Score,,18306,
Sat Nov 10 2018,8:00p,Cleveland Cavaliers,98,Chicago Bulls,99,Box Score,,21506,
Sat Nov 10 2018,9:00p,Oklahoma City Thunder,96,Dallas Mavericks,111,Box Score,,19818,
Sat Nov 10 2018,8:30p,Brooklyn Nets,100,Golden State Warriors,116,Box Score,,19596,
Sat Nov 10 2018,3:30p,Milwaukee Bucks,126,Los Angeles Clippers,128,Box Score,OT,17486,
Sat Nov 10 2018,8:00p,Philadelphia 76ers,106,Memphis Grizzlies,112,Box Score,OT,16904,
Sat Nov 10 2018,8:00p,Washington Wizards,116,Miami Heat,110,Box Score,,19600,
Sat Nov 10 2018,7:00p,Phoenix Suns,99,New Orleans Pelicans,119,Box Score,,15222,
Sat Nov 10 2018,10:00p,LA Lakers,101,Sacramento Kings,86,Box Score,,17583,
Sat Nov 10 2018,8:30p,Houston Rockets,89,San Antonio Spurs,96,Box Score,,18354,
Sat Nov 10 2018,3:00p,New York Knicks,112,Toronto Raptors,128,Box Score,,19800,
Sun Nov 11 2018,8:00p,Milwaukee Bucks,121,Denver Nuggets,114,Box Score,,19520,
Sun Nov 11 2018,3:30p,Charlotte Hornets,113,Detroit Pistons,103,Box Score,,15133,
Sun Nov 11 2018,7:00p,Indiana Pacers,103,Houston Rockets,115,Box Score,,18055,
Sun Nov 11 2018,9:30p,Atlanta Hawks,106,LA Lakers,107,Box Score,,18997,
Sun Nov 11 2018,7:30p,Orlando Magic,115,New York Knicks,89,Box Score,,19812,
Sun Nov 11 2018,9:00p,Boston Celtics,94,Portland Trail Blazers,100,Box Score,,19712,
Mon Nov 12 2018,8:00p,Dallas Mavericks,103,Chicago Bulls,98,Box Score,,19012,
Mon Nov 12 2018,10:30p,Golden State Warriors,116,Los Angeles Clippers,121,Box Score,OT,19068,
Mon Nov 12 2018,8:00p,Utah Jazz,96,Memphis Grizzlies,88,Box Score,,13477,
Mon Nov 12 2018,7:30p,Philadelphia 76ers,124,Miami Heat,114,Box Score,,19600,
Mon Nov 12 2018,8:00p,Brooklyn Nets,113,Minnesota Timberwolves,120,Box Score,,10186,
Mon Nov 12 2018,8:00p,Phoenix Suns,101,Oklahoma City Thunder,118,Box Score,,18203,
Mon Nov 12 2018,10:00p,San Antonio Spurs,99,Sacramento Kings,104,Box Score,,15500,
Mon Nov 12 2018,7:30p,New Orleans Pelicans,126,Toronto Raptors,110,Box Score,,19800,
Mon Nov 12 2018,7:00p,Orlando Magic,109,Washington Wizards,117,Box Score,,15346,
Tue Nov 13 2018,7:00p,Charlotte Hornets,89,Cleveland Cavaliers,113,Box Score,,19432,
Tue Nov 13 2018,9:00p,Houston Rockets,109,Denver Nuggets,99,Box Score,,16741,
Tue Nov 13 2018,10:30p,Atlanta Hawks,103,Golden State Warriors,110,Box Score,,19596,
Wed Nov 14 2018,7:30p,Chicago Bulls,82,Boston Celtics,111,Box Score,,18624,
Wed Nov 14 2018,7:30p,Miami Heat,120,Brooklyn Nets,107,Box Score,,13317,
Wed Nov 14 2018,8:30p,Utah Jazz,68,Dallas Mavericks,118,Box Score,,19371,
Wed Nov 14 2018,10:30p,Portland Trail Blazers,117,LA Lakers,126,Box Score,,18997,
Wed Nov 14 2018,8:00p,Memphis Grizzlies,116,Milwaukee Bucks,113,Box Score,,16817,
Wed Nov 14 2018,8:00p,New Orleans Pelicans,100,Minnesota Timberwolves,107,Box Score,,11636,
Wed Nov 14 2018,8:00p,New York Knicks,103,Oklahoma City Thunder,128,Box Score,,18203,
Wed Nov 14 2018,7:00p,Philadelphia 76ers,106,Orlando Magic,111,Box Score,,15921,
Wed Nov 14 2018,9:00p,San Antonio Spurs,96,Phoenix Suns,116,Box Score,,14532,
Wed Nov 14 2018,7:30p,Detroit Pistons,106,Toronto Raptors,104,Box Score,,19800,
Wed Nov 14 2018,7:00p,Cleveland Cavaliers,95,Washington Wizards,119,Box Score,,14537,
Thu Nov 15 2018,9:00p,Atlanta Hawks,93,Denver Nuggets,138,Box Score,,15103,
Thu Nov 15 2018,8:00p,Golden State Warriors,86,Houston Rockets,107,Box Score,,18055,
Thu Nov 15 2018,10:30p,San Antonio Spurs,111,Los Angeles Clippers,116,Box Score,,17463,
Fri Nov 16 2018,7:00p,Toronto Raptors,116,Boston Celtics,123,Box Score,OT,18624,
Fri Nov 16 2018,7:00p,Miami Heat,91,Indiana Pacers,99,Box Score,,17923,
Fri Nov 16 2018,8:00p,Sacramento Kings,104,Memphis Grizzlies,112,Box Score,,13811,
Fri Nov 16 2018,9:30p,Chicago Bulls,104,Milwaukee Bucks,123,Box Score,,17341,
Fri Nov 16 2018,8:00p,Portland Trail Blazers,96,Minnesota Timberwolves,112,Box Score,,18978,
Fri Nov 16 2018,8:00p,New York Knicks,124,New Orleans Pelicans,129,Box Score,,14717,
Fri Nov 16 2018,7:00p,Utah Jazz,107,Philadelphia 76ers,113,Box Score,,20485,
Fri Nov 16 2018,7:00p,Brooklyn Nets,115,Washington Wizards,104,Box Score,,15102,
Sat Nov 17 2018,7:30p,Utah Jazz,98,Boston Celtics,86,Box Score,,18624,
Sat Nov 17 2018,6:00p,Los Angeles Clippers,127,Brooklyn Nets,119,Box Score,,12944,
Sat Nov 17 2018,8:00p,Toronto Raptors,122,Chicago Bulls,83,Box Score,,21263,
Sat Nov 17 2018,7:00p,Philadelphia 76ers,122,Charlotte Hornets,119,Box Score,OT,19426,
Sat Nov 17 2018,8:30p,Golden State Warriors,109,Dallas Mavericks,112,Box Score,,20260,
Sat Nov 17 2018,8:00p,Sacramento Kings,112,Houston Rockets,132,Box Score,,18055,
Sat Nov 17 2018,7:00p,Atlanta Hawks,89,Indiana Pacers,97,Box Score,,17491,
Sat Nov 17 2018,7:00p,Denver Nuggets,115,New Orleans Pelicans,125,Box Score,,15408,
Sat Nov 17 2018,7:00p,LA Lakers,117,Orlando Magic,130,Box Score,,19249,
Sat Nov 17 2018,9:00p,Oklahoma City Thunder,110,Phoenix Suns,100,Box Score,,16376,
Sun Nov 18 2018,6:00p,LA Lakers,113,Miami Heat,97,Box Score,,19686,
Sun Nov 18 2018,3:30p,Memphis Grizzlies,100,Minnesota Timberwolves,87,Box Score,,13179,
Sun Nov 18 2018,6:00p,New York Knicks,117,Orlando Magic,131,Box Score,,15898,
Sun Nov 18 2018,7:00p,Golden State Warriors,92,San Antonio Spurs,104,Box Score,,18354,
Sun Nov 18 2018,6:00p,Portland Trail Blazers,119,Washington Wizards,109,Box Score,,16647,
Mon Nov 19 2018,7:30p,Los Angeles Clippers,127,Atlanta Hawks,119,Box Score,,14323,
Mon Nov 19 2018,7:00p,Boston Celtics,112,Charlotte Hornets,117,Box Score,,18040,
Mon Nov 19 2018,7:00p,Cleveland Cavaliers,102,Detroit Pistons,113,Box Score,,15769,
Mon Nov 19 2018,7:00p,Utah Jazz,94,Indiana Pacers,121,Box Score,,17000,
Mon Nov 19 2018,8:00p,Dallas Mavericks,88,Memphis Grizzlies,98,Box Score,,15997,
Mon Nov 19 2018,8:00p,Denver Nuggets,98,Milwaukee Bucks,104,Box Score,,17341,
Mon Nov 19 2018,8:00p,San Antonio Spurs,126,New Orleans Pelicans,140,Box Score,,14675,
Mon Nov 19 2018,7:00p,Phoenix Suns,114,Philadelphia 76ers,119,Box Score,,20459,
Mon Nov 19 2018,10:00p,Oklahoma City Thunder,113,Sacramento Kings,117,Box Score,,16250,
Tue Nov 20 2018,7:30p,Brooklyn Nets,104,Miami Heat,92,Box Score,,19600,
Tue Nov 20 2018,7:30p,Portland Trail Blazers,118,New York Knicks,114,Box Score,,19812,
Tue Nov 20 2018,7:00p,Toronto Raptors,93,Orlando Magic,91,Box Score,,16016,
Tue Nov 20 2018,7:00p,Los Angeles Clippers,118,Washington Wizards,125,Box Score,,14499,
Wed Nov 21 2018,7:30p,Toronto Raptors,124,Atlanta Hawks,108,Box Score,,15058,
Wed Nov 21 2018,7:30p,New York Knicks,117,Boston Celtics,109,Box Score,,18624,
Wed Nov 21 2018,8:00p,Phoenix Suns,116,Chicago Bulls,124,Box Score,,19014,
Wed Nov 21 2018,7:00p,Indiana Pacers,109,Charlotte Hornets,127,Box Score,,15913,
Wed Nov 21 2018,8:00p,LA Lakers,109,Cleveland Cavaliers,105,Box Score,,19432,
Wed Nov 21 2018,8:30p,Brooklyn Nets,113,Dallas Mavericks,119,Box Score,,19926,
Wed Nov 21 2018,10:30p,Oklahoma City Thunder,123,Golden State Warriors,95,Box Score,,19596,
Wed Nov 21 2018,8:00p,Detroit Pistons,124,Houston Rockets,126,Box Score,,18055,
Wed Nov 21 2018,8:00p,Portland Trail Blazers,100,Milwaukee Bucks,143,Box Score,,17591,
Wed Nov 21 2018,8:00p,Denver Nuggets,103,Minnesota Timberwolves,101,Box Score,,15086,
Wed Nov 21 2018,7:00p,New Orleans Pelicans,120,Philadelphia 76ers,121,Box Score,,20352,
Wed Nov 21 2018,8:30p,Memphis Grizzlies,104,San Antonio Spurs,103,Box Score,,18354,
Wed Nov 21 2018,9:00p,Sacramento Kings,119,Utah Jazz,110,Box Score,,18306,
Fri Nov 23 2018,7:30p,Boston Celtics,,Atlanta Hawks,,,,,
Fri Nov 23 2018,12:00p,Minnesota Timberwolves,,Brooklyn Nets,,,,,
Fri Nov 23 2018,8:00p,Miami Heat,,Chicago Bulls,,,,,
Fri Nov 23 2018,9:00p,Orlando Magic,,Denver Nuggets,,,,,
Fri Nov 23 2018,7:00p,Houston Rockets,,Detroit Pistons,,,,,
Fri Nov 23 2018,10:30p,Portland Trail Blazers,,Golden State Warriors,,,,,
Fri Nov 23 2018,8:00p,San Antonio Spurs,,Indiana Pacers,,,,,
Fri Nov 23 2018,3:30p,Memphis Grizzlies,,Los Angeles Clippers,,,,,
Fri Nov 23 2018,10:30p,Utah Jazz,,LA Lakers,,,,,
Fri Nov 23 2018,8:30p,Phoenix Suns,,Milwaukee Bucks,,,,,
Fri Nov 23 2018,7:30p,New Orleans Pelicans,,New York Knicks,,,,,
Fri Nov 23 2018,8:00p,Charlotte Hornets,,Oklahoma City Thunder,,,,,
Fri Nov 23 2018,7:30p,Cleveland Cavaliers,,Philadelphia 76ers,,,,,
Fri Nov 23 2018,7:30p,Washington Wizards,,Toronto Raptors,,,,,
Sat Nov 24 2018,7:30p,Houston Rockets,,Cleveland Cavaliers,,,,,
Sat Nov 24 2018,8:30p,Boston Celtics,,Dallas Mavericks,,,,,
Sat Nov 24 2018,8:30p,Sacramento Kings,,Golden State Warriors,,,,,
Sat Nov 24 2018,8:30p,San Antonio Spurs,,Milwaukee Bucks,,,,,
Sat Nov 24 2018,8:00p,Chicago Bulls,,Minnesota Timberwolves,,,,,
Sat Nov 24 2018,8:00p,Denver Nuggets,,Oklahoma City Thunder,,,,,
Sat Nov 24 2018,8:00p,New Orleans Pelicans,,Washington Wizards,,,,,
Sun Nov 25 2018,6:00p,Charlotte Hornets,,Atlanta Hawks,,,,,
Sun Nov 25 2018,6:00p,Philadelphia 76ers,,Brooklyn Nets,,,,,
Sun Nov 25 2018,4:00p,Phoenix Suns,,Detroit Pistons,,,,,
Sun Nov 25 2018,3:30p,Orlando Magic,,LA Lakers,,,,,
Sun Nov 25 2018,6:00p,New York Knicks,,Memphis Grizzlies,,,,,
Sun Nov 25 2018,9:00p,Los Angeles Clippers,,Portland Trail Blazers,,,,,
Sun Nov 25 2018,8:00p,Utah Jazz,,Sacramento Kings,,,,,
Sun Nov 25 2018,6:00p,Miami Heat,,Toronto Raptors,,,,,
Mon Nov 26 2018,8:00p,San Antonio Spurs,,Chicago Bulls,,,,,
Mon Nov 26 2018,7:00p,Milwaukee Bucks,,Charlotte Hornets,,,,,
Mon Nov 26 2018,7:00p,Minnesota Timberwolves,,Cleveland Cavaliers,,,,,
Mon Nov 26 2018,10:30p,Orlando Magic,,Golden State Warriors,,,,,
Mon Nov 26 2018,8:00p,Boston Celtics,,New Orleans Pelicans,,,,,
Mon Nov 26 2018,9:00p,Indiana Pacers,,Utah Jazz,,,,,
Mon Nov 26 2018,7:00p,Houston Rockets,,Washington Wizards,,,,,
Tue Nov 27 2018,9:00p,LA Lakers,,Denver Nuggets,,,,,
Tue Nov 27 2018,7:00p,New York Knicks,,Detroit Pistons,,,,,
Tue Nov 27 2018,8:00p,Toronto Raptors,,Memphis Grizzlies,,,,,
Tue Nov 27 2018,7:30p,Atlanta Hawks,,Miami Heat,,,,,
Tue Nov 27 2018,9:00p,Indiana Pacers,,Phoenix Suns,,,,,
Wed Nov 28 2018,7:30p,Utah Jazz,,Brooklyn Nets,,,,,
Wed Nov 28 2018,7:00p,Atlanta Hawks,,Charlotte Hornets,,,,,
Wed Nov 28 2018,8:00p,Dallas Mavericks,,Houston Rockets,,,,,
Wed Nov 28 2018,10:30p,Phoenix Suns,,Los Angeles Clippers,,,,,
Wed Nov 28 2018,8:00p,Chicago Bulls,,Milwaukee Bucks,,,,,
Wed Nov 28 2018,8:00p,San Antonio Spurs,,Minnesota Timberwolves,,,,,
Wed Nov 28 2018,8:00p,Washington Wizards,,New Orleans Pelicans,,,,,
Wed Nov 28 2018,8:00p,Cleveland Cavaliers,,Oklahoma City Thunder,,,,,
Wed Nov 28 2018,7:00p,New York Knicks,,Philadelphia 76ers,,,,,
Wed Nov 28 2018,10:00p,Orlando Magic,,Portland Trail Blazers,,,,,
Thu Nov 29 2018,10:30p,Indiana Pacers,,LA Lakers,,,,,
Thu Nov 29 2018,10:30p,Los Angeles Clippers,,Sacramento Kings,,,,,
Thu Nov 29 2018,8:00p,Golden State Warriors,,Toronto Raptors,,,,,
Fri Nov 30 2018,7:00p,Cleveland Cavaliers,,Boston Celtics,,,,,
Fri Nov 30 2018,7:30p,Memphis Grizzlies,,Brooklyn Nets,,,,,
Fri Nov 30 2018,7:00p,Utah Jazz,,Charlotte Hornets,,,,,
Fri Nov 30 2018,7:00p,Chicago Bulls,,Detroit Pistons,,,,,
Fri Nov 30 2018,10:30p,Dallas Mavericks,,LA Lakers,,,,,
Fri Nov 30 2018,8:00p,New Orleans Pelicans,,Miami Heat,,,,,
Fri Nov 30 2018,8:00p,Atlanta Hawks,,Oklahoma City Thunder,,,,,
Fri Nov 30 2018,7:00p,Washington Wizards,,Philadelphia 76ers,,,,,
Fri Nov 30 2018,9:00p,Orlando Magic,,Phoenix Suns,,,,,
Fri Nov 30 2018,10:30p,Denver Nuggets,,Portland Trail Blazers,,,,,
Fri Nov 30 2018,8:00p,Houston Rockets,,San Antonio Spurs,,,,,
